frequency_hz,ad5245_value,ad5245_readback,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
96000,1,1,78,4.769523,431,0.526252,-1.973748,181,0.221001,-2.278999,03 5E 01 6A
96000,1,1,79,4.769524,431,0.526252,-1.973748,181,0.221001,-2.278999,03 5E 01 6A
96000,1,1,80,4.769526,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,81,4.769527,432,0.527473,-1.972527,183,0.223443,-2.276557,03 60 01 6E
96000,1,1,82,4.769528,433,0.528694,-1.971306,182,0.222222,-2.277778,03 62 01 6C
96000,1,1,83,4.769529,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,84,4.769530,430,0.525031,-1.974969,180,0.219780,-2.280220,03 5C 01 68
96000,1,1,85,4.769531,431,0.526252,-1.973748,180,0.219780,-2.280220,03 5E 01 68
96000,1,1,86,4.769532,433,0.528694,-1.971306,183,0.223443,-2.276557,03 62 01 6E
96000,1,1,87,4.769533,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,88,4.769534,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,89,4.769536,432,0.527473,-1.972527,181,0.221001,-2.278999,03 60 01 6A
96000,1,1,90,4.769537,431,0.526252,-1.973748,180,0.219780,-2.280220,03 5E 01 68
96000,1,1,91,4.769538,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,92,4.769539,433,0.528694,-1.971306,182,0.222222,-2.277778,03 62 01 6C
96000,1,1,93,4.769540,433,0.528694,-1.971306,182,0.222222,-2.277778,03 62 01 6C
96000,1,1,94,4.769542,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,95,4.769543,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,96,4.769544,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,97,4.769545,427,0.521368,-1.978632,180,0.219780,-2.280220,03 56 01 68
96000,1,1,98,4.769546,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,99,4.769547,432,0.527473,-1.972527,183,0.223443,-2.276557,03 60 01 6E
96000,1,1,100,4.769548,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
